player_id,player_name,mkc_id,country_code,fc,is_host_banned,is_chat_restricted,mmr,base_mmr,peak_mmr,rank_id,times_strike_limit_reached,twitch_link,mogi_media_message_id
302177188734828545,Zay-?,17561,US,,0,0,2208,2208,,794263467581374524,0,,,
302969382848561153,Enri,1940,ES,,0,0,2839,2996,2839,794263467581374524,0,,,
303126714278608897,Panix,21817,DE,,0,0,2599,2599,,794263467581374524,0,,,
303399256381980672,BakaBitch,48779,US,,0,0,697,1000,893,970028275789365368,0,,,
303605824167608320,hoermih,9454,AT,,0,0,1182,1388,1539,970028275789365368,0,,,
304683789660192769,nanew,23565,DE,,0,0,4513,607,4513,794262925098745858,0,,,
304684207236579339,Cyns,12599,US,,0,0,2308,3242,3209,794263467581374524,0,,,
305142067854704640,Aventura,30936,US,,0,0,2191,2191,,794263467581374524,0,,,
305240630400122880,Tylerrr,1575,US,,0,0,3308,3308,,794262959084797984,0,,,
305396927992692737,Hedgi,100,SE,,0,0,2475,2383,2582,794263467581374524,0,,,
305704025616023552,Marv_Chan,435,DE,,0,0,3700,3750,3794,794262959084797984,0,,,
306455823062663169,gurosu,28554,JP,,0,0,,,,846497627508047872,0,,,
308038180115054593,Maple,8851,IE,,0,0,2190,2190,,794263467581374524,0,,,
309369168065593354,Remy-S,46680,FR,,0,0,,,,846497627508047872,0,,,
310311690908598272,Emarie,3716,US,,0,0,3344,3344,,794262959084797984,0,,,
310358758679248897,dickerloerres,20883,DE,7563-6056-8123,0,0,5095,4339,5308,794262925098745858,0,kiba_mk,,
310566096577232898,doggy512,55378,US,,0,0,,,,846497627508047872,0,,,
311096076650414091,Badders,28409,NZ,,0,0,,,,846497627508047872,0,,,
313024927844532228,tornado,46753,US,,0,0,,,,846497627508047872,0,,,
315423074742960129,DarkDave,27222,AT,,0,0,5267,5250,5461,794262925098745858,0,,,
316251203069804545,Cocozie,7203,FR,,0,0,3326,3326,,794262959084797984,0,,,
317303071178752000,yume,5111,JP,,0,0,3568,3568,,794262959084797984,0,,,
317399078873071627,Dinde!,47239,BE,,0,0,,,,846497627508047872,0,,,
317861365215657984,Sempra,51542,CA,,0,0,,,,846497627508047872,0,,,
318223477498970123,yuyuyu,1331,JP,,0,0,4984,4984,,794262925098745858,0,,,
318513990177390595,7anner,51776,US,,0,0,,,,846497627508047872,0,,,
319782094194868224,tebukuro,34892,JP,,0,0,,,,846497627508047872,0,,,
319998607837233173,Benjax,243,CL,,0,0,3565,3565,,794262959084797984,0,,,
320215221341782016,SirBubbleChu,5078,GB,,0,0,3804,3804,,794262959084797984,0,,,
320285479226441728,jay,15373,US,,0,0,3234,3234,3480,794262959084797984,0,,,
320752670480531456,StarScream,875,US,,0,0,4108,4249,4209,794262959084797984,0,,,
321145355750080513,Rylan,254,US,,0,0,4638,5028,4936,794262925098745858,0,,,
321659023055388673,Noctambule,51304,FR,,0,0,,,,846497627508047872,0,,,
322084643652239360,ZeKirio,2989,FR,,0,0,2307,2307,,794263467581374524,0,,,
323807595230003201,eatpapayanice01,5105,AT,,0,0,9734,7753,9889,794262638518730772,0,enjoykonni,,
324122681639305216,Spitzspatz,23783,DE,,0,0,2051,2051,,794263467581374524,0,,,
325041538562261003,Dman,1147,IE,,0,0,4272,3714,4608,794262959084797984,0,,,
325665851648770048,enz,583,FR,,0,0,5287,5287,,794262925098745858,0,,,
325917060372758528,nsdive,8672,FR,,0,0,3587,3587,,794262959084797984,0,,,
326431602630590464,Pulse,6696,NL,,0,0,3884,3741,3934,794262959084797984,0,,,
327463856169549825,FourFifty,51255,US,,0,0,,,,846497627508047872,0,,,
327932203147460608,Aguacatelino,50267,DO,,0,0,797,1000,913,970028275789365368,0,,,
